Timestamp,Close,High,Low,Open,Volume_(BTC),Volume_(Currency),conversionType,conversionSymbol,Weighted_Price
1747369980,103948.22,103962.57,103943.61,103962.55,0.8652,89946.67,force_direct,,103960.55247341655
1747370040,103931.57,103951.39,103923.76,103948.22,0.8948,92997.29,force_direct,,103930.81135449262
1747370100,103963.05,103969.55,103920.14,103931.57,1.659,172483.02,force_direct,,103968.0650994575
1747370160,103987.33,103989.5,103945.53,103963.05,1.17,121610.9,force_direct,,103940.94017094017
1747370220,103999.83,104017.75,103987.33,103987.33,2.07,215312.46,force_direct,,104015.68115942029
1747370280,103942.6,103999.88,103942.59,103999.83,1.165,121132.84,force_direct,,103976.68669527896
1747370340,103929.83,103948.92,103925.69,103942.6,0.6859,71288.69,force_direct,,103934.52398308793
1747370400,103882.04,103929.83,103882.04,103929.83,4.52,469643.33,force_direct,,103903.39159292036
1747370460,103882.71,103894.49,103865.21,103882.04,2.972,308746.41,force_direct,,103885.06393001345
1747370520,103870.39,103915.81,103865.89,103882.71,3.292,341969.49,force_direct,,103878.94592952613
1747370580,103857.25,103871.59,103840.21,103870.39,6.106,634172.66,force_direct,,103860.57320668196
1747370640,103855.91,103905.58,103855.91,103857.25,3.882,403247.71,force_direct,,103876.27769191138
1747370700,103937.89,103939.85,103855.91,103855.91,2.127,221008.58,force_direct,,103906.243535496
1747370760,103923.26,103937.91,103915.03,103937.89,3.149,327293.98,force_direct,,103935.84630041283
1747370820,103878.23,103930.57,103875.86,103923.26,3.551,368979.28,force_direct,,103908.55533652492
1747370880,103843.73,103897.31,103840.2,103878.23,2.892,300333.91,force_direct,,103849.89972337482
1747370940,103852.47,103870.01,103836.99,103843.73,3.447,357978.27,force_direct,,103852.12358572672
1747371000,103909.02,103917.01,103840.83,103852.47,1.738,180505.15,force_direct,,103857.96892980437
1747371060,103919.47,103919.47,103909.02,103909.02,0.2836,29466.22,force_direct,,103900.634696756
1747371120,103919.21,103922.05,103917.95,103919.47,0.4904,50958.91,force_direct,,103912.94861337684
1747371180,103911.94,103925.12,103894.6,103919.21,2.345,243690.55,force_direct,,103919.21108742003
1747371240,103926.17,103932.94,103911.93,103911.94,0.4955,51493.36,force_direct,,103922.01816347125
1747371300,103948.78,103958.53,103918.51,103926.17,0.7995,83107.2,force_direct,,103948.96810506567
1747371360,103959.85,103980.0,103948.69,103948.78,1.495,155461.53,force_direct,,103987.64548494983
1747371420,103914.81,103968.11,103904.16,103959.85,2.972,308831.31,force_direct,,103913.63055181695
1747371480,103921.38,103936.06,103899.22,103914.81,1.44,149662.72,force_direct,,103932.44444444445
1747371540,103946.57,103954.53,103921.38,103921.38,0.9944,103363.74,force_direct,,103945.83668543847
1747371600,103970.82,103976.81,103946.57,103946.57,0.7434,77282.41,force_direct,,103958.04412160345
1747371660,104006.75,104007.11,103961.48,103970.82,2.084,216746.01,force_direct,,104004.80326295586
1747371720,103984.99,104012.75,103968.89,104006.75,0.7385,76785.55,force_direct,,103975.01692620176
1747371780,103988.29,103988.3,103969.98,103984.99,1.499,155840.13,force_direct,,103962.7284856571
1747371840,104001.69,104008.61,103976.57,103988.29,1.322,137478.69,force_direct,,103992.95763993949
1747371900,104017.28,104017.28,103992.99,104001.69,0.3731,38796.97,force_direct,,103985.44626105603
1747371960,103986.2,104029.92,103983.52,104017.28,1.666,173315.98,force_direct,,104031.20048019208
1747372020,103998.44,104000.0,103986.2,103986.2,0.9498,98775.01,force_direct,,103995.58854495683
1747372080,103967.82,103998.44,103937.87,103998.44,1.563,162504.2,force_direct,,103969.41778630839
1747372140,103999.99,104000.0,103967.82,103967.82,0.3808,39601.0,force_direct,,103994.22268907563
1747372200,104056.03,104056.06,103990.91,103999.99,1.37,142508.15,force_direct,,104020.54744525546
1747372260,103995.58,104056.03,103983.64,104056.03,1.695,176362.67,force_direct,,104048.77286135693
1747372320,103975.01,103997.22,103964.56,103995.58,3.638,378345.35,force_direct,,103998.17207256734
1747372380,103983.3,103992.62,103957.34,103975.01,2.73,283896.23,force_direct,,103991.29304029304
1747372440,104020.58,104020.6,103983.3,103983.3,1.519,157972.03,force_direct,,103997.38643844635
1747372500,104018.81,104053.93,103987.02,104020.58,1.845,191932.47,force_direct,,104028.43902439025
1747372560,104031.32,104074.99,104018.79,104018.81,1.725,179438.37,force_direct,,104022.24347826086
1747372620,104048.0,104054.33,104024.51,104031.32,0.7802,81168.07,force_direct,,104034.9525762625
1747372680,104059.87,104084.26,104048.0,104048.0,1.56,162341.67,force_direct,,104065.17307692308
1747372740,104072.49,104072.49,104059.87,104059.87,0.2394,24915.33,force_direct,,104074.06015037595
1747372800,104083.78,104109.73,104072.49,104072.49,1.403,146019.79,force_direct,,104076.82822523166
1747372860,104139.24,104152.33,104083.78,104083.78,1.247,129890.17,force_direct,,104162.12510024056
1747372920,104140.71,104144.88,104129.89,104139.24,0.703,73211.2,force_direct,,104141.10953058321
1747372980,104169.85,104172.38,104140.7,104140.71,1.329,138438.03,force_direct,,104167.06546275395
1747373040,104132.15,104169.85,104125.74,104169.85,2.494,259767.9,force_direct,,104157.13712910985
1747373100,104129.26,104155.92,104121.14,104132.15,1.558,162242.92,force_direct,,104135.37869062902
1747373160,104072.0,104129.26,104059.33,104129.26,3.985,414857.27,force_direct,,104104.71016311168
1747373220,104058.4,104091.02,104051.93,104072.0,0.3876,40339.92,force_direct,,104076.16099071207
1747373280,104055.16,104073.11,104047.25,104058.4,0.6796,70716.64,force_direct,,104056.26839317246
1747373340,104053.75,104067.15,104047.62,104055.16,0.7177,74680.71,force_direct,,104055.60819283825
1747373400,104016.8,104053.75,104008.9,104053.75,0.8998,93597.96,force_direct,,104020.8490775728
1747373460,104000.0,104027.98,103996.67,104016.8,0.431,44826.95,force_direct,,104006.8445475638
1747373520,103978.79,104008.24,103978.79,104000.0,0.6423,66791.11,force_direct,,103987.40463957653
1747373580,103955.66,103993.11,103953.0,103978.79,0.7649,79530.61,force_direct,,103975.1732252582
1747373640,103975.78,103984.46,103937.86,103955.66,1.183,122987.33,force_direct,,103962.24006762468
