Timestamp,Close,High,Low,Open,Volume_(BTC),Volume_(Currency),conversionType,conversionSymbol,Weighted_Price
1747372560,104065,104065,104021,104021,0.08114,8443.83,force_direct,,104064.94947005175
1747372620,104065,104065,104065,104065,0.0,0.0,force_direct,,
1747372680,104042,104065,104042,104065,0.000613,63.78,force_direct,,104045.67699836867
1747372740,104071,104084,104042,104042,1.808,188215.13,force_direct,,104101.28871681416
1747372800,104095,104104,104071,104071,0.01375,1431.51,force_direct,,104109.81818181818
1747372860,104152,104152,104095,104095,0.03604,3751.94,force_direct,,104104.88346281908
1747372920,104143,104152,104132,104152,0.1117,11631.4,force_direct,,104130.7072515667
1747372980,104157,104157,104140,104143,0.006573,684.5,force_direct,,104138.14087935493
1747373040,104143,104168,104143,104157,0.007708,802.83,force_direct,,104155.4229372081
1747373100,104148,104148,104131,104143,0.000764,79.56,force_direct,,104136.12565445025
1747373160,104073,104148,104071,104148,0.004261,443.5,force_direct,,104083.54846280215
1747373220,104085,104085,104073,104073,0.1547,16101.95,force_direct,,104085.00323206205
1747373280,104055,104085,104053,104085,0.0295,3069.57,force_direct,,104053.22033898307
1747373340,104059,104059,104055,104055,0.00435,452.66,force_direct,,104059.77011494254
1747373400,104019,104059,104019,104059,0.005299,551.24,force_direct,,104027.17493866768
1747373460,104019,104019,104019,104019,0.0,0.0,force_direct,,
1747373520,103994,104019,103994,104019,0.001282,133.35,force_direct,,104017.16068642745
1747373580,103994,103994,103994,103994,0.0,0.0,force_direct,,
1747373640,103953,103994,103941,103994,0.2972,30891.07,force_direct,,103940.34320323014
1747373700,103916,103961,103916,103953,0.005502,571.91,force_direct,,103945.83787713558
1747373760,103960,103960,103916,103916,0.01737,1805.95,force_direct,,103969.48762233737
1747373820,103915,103980,103915,103960,0.04095,4256.68,force_direct,,103948.22954822956
1747373880,103883,103915,103878,103915,0.03043,3160.9,force_direct,,103874.46598751233
1747373940,103895,103895,103883,103883,0.1392,14461.94,force_direct,,103893.24712643679
1747374000,103895,103895,103895,103895,0.0,0.0,force_direct,,
1747374060,103907,103908,103895,103895,0.003509,364.61,force_direct,,103907.09603875749
1747374120,103915,103915,103907,103907,0.000544,56.53,force_direct,,103915.44117647059
1747374180,103984,103984,103915,103915,0.1403,14593.59,force_direct,,104017.03492516036
1747374240,104007,104018,103984,103984,0.00702,730.14,force_direct,,104008.547008547
1747374300,104050,104091,104007,104007,0.1622,16884.86,force_direct,,104099.01356350185
1747374360,104029,104055,104029,104050,0.005051,525.55,force_direct,,104048.70322708374
1747374420,104024,104029,104023,104029,0.1267,13180.78,force_direct,,104031.41278610892
1747374480,104035,104035,104013,104024,0.01787,1859.49,force_direct,,104056.51930609961
1747374540,104026,104035,104026,104035,0.007779,809.22,force_direct,,104026.22445044351
1747374600,104014,104028,104013,104026,1.476,153531.31,force_direct,,104018.5027100271
1747374660,104017,104017,103989,104014,0.004414,459.09,force_direct,,104007.70276393293
1747374720,103989,104017,103989,104017,0.00141,146.62,force_direct,,103985.81560283688
1747374780,104004,104006,103989,103989,0.00209,217.37,force_direct,,104004.78468899522
1747374840,103985,104004,103985,104004,0.04923,5119.45,force_direct,,103990.45297582773
1747374900,103956,103985,103954,103985,0.01713,1780.57,force_direct,,103944.54173963807
1747374960,104043,104043,103956,103956,0.2856,29707.93,force_direct,,104019.36274509803
1747375020,103919,104043,103919,104043,0.1874,19473.51,force_direct,,103914.1408751334
1747375080,103919,103919,103919,103919,0.0,0.0,force_direct,,
1747375140,103919,103954,103919,103919,0.006294,654.11,force_direct,,103925.96123292024
1747375200,103919,103919,103919,103919,0.0,0.0,force_direct,,
1747375260,103918,103956,103918,103919,0.02645,2749.16,force_direct,,103937.99621928166
1747375320,103925,103925,103911,103918,0.005066,526.42,force_direct,,103912.35688906434
1747375380,104026,104026,103925,103925,0.002468,256.7,force_direct,,104011.34521880063
1747375440,103963,104026,103963,104026,0.01947,2023.75,force_direct,,103941.96199280945
1747375500,103950,103973,103950,103963,0.02136,2220.09,force_direct,,103936.797752809
1747375560,103923,103950,103923,103950,0.002191,227.7,force_direct,,103925.14833409403
1747375620,103962,103962,103923,103923,0.00199,206.83,force_direct,,103934.67336683418
1747375680,104012,104027,103962,103962,0.1573,16354.72,force_direct,,103971.5193897012
1747375740,103953,104016,103953,104012,0.04882,5077.53,force_direct,,104005.12085210979
1747375800,103960,103976,103953,103953,0.8634,89763.57,force_direct,,103965.2189020153
1747375860,103952,103967,103952,103960,0.02759,2867.86,force_direct,,103945.63247553461
1747375920,103998,103998,103952,103952,0.02344,2436.86,force_direct,,103961.60409556315
1747375980,103954,103998,103954,103998,0.08652,8993.93,force_direct,,103952.03421174295
1747376040,103938,103954,103938,103954,0.002674,277.92,force_direct,,103934.18100224383
1747376100,104035,104035,103938,103938,0.1971,20496.5,force_direct,,103990.36022323693
1747376160,104054,104061,104030,104035,0.02342,2436.58,force_direct,,104038.42869342442
1747376220,103982,104054,103982,104054,0.5397,56130.67,force_direct,,104003.46488790069
1747376280,103994,103994,103982,103982,0.001197,124.43,force_direct,,103951.5455304929
1747376340,104026,104033,103994,103994,0.02882,2998.23,force_direct,,104032.96321998612
1747376400,104026,104030,104026,104026,0.01147,1192.87,force_direct,,103999.12816041848
1747376460,104012,104026,104012,104026,0.00408,424.37,force_direct,,104012.25490196078
1747376520,103953,104012,103953,104012,0.00042,43.66,force_direct,,103952.38095238095
1747376580,103996,103996,103953,103953,0.01082,1124.51,force_direct,,103928.83548983364
1747376640,104016,104016,103985,103996,0.1772,18427.35,force_direct,,103991.8171557562
1747376700,103971,104016,103971,104016,0.005104,530.78,force_direct,,103992.94670846395
1747376760,103964,103992,103964,103971,0.00783,814.1,force_direct,,103971.90293742018
1747376820,104013,104032,103964,103964,0.002241,233.1,force_direct,,104016.06425702812
1747376880,103966,104013,103966,104013,0.006329,658.1,force_direct,,103981.67167009006
1747376940,103984,103984,103963,103966,0.08599,8940.68,force_direct,,103973.4852889871
1747377000,104011,104012,103984,103984,0.05762,5992.42,force_direct,,103998.9586948976
1747377060,104053,104053,104011,104011,0.0006884,71.63,force_direct,,104052.87623474722
1747377120,104070,104074,104053,104053,0.006091,633.85,force_direct,,104063.37218847481
1747377180,104069,104070,104069,104070,0.0008663,90.15,force_direct,,104063.25753203279
1747377240,104087,104087,104069,104069,0.008004,833.11,force_direct,,104086.70664667666
1747377300,104019,104087,104019,104087,0.004029,419.21,force_direct,,104048.150905932
1747377360,103991,104020,103978,104019,0.09462,9839.52,force_direct,,103989.85415345593
1747377420,104004,104004,103973,103991,0.001858,193.2,force_direct,,103982.77717976317
1747377480,104010,104066,104004,104004,0.2511,26131.16,force_direct,,104066.74631620868
1747377540,104009,104011,103979,104010,0.0673,6999.22,force_direct,,104000.29717682021
1747377600,104015,104023,103985,104009,0.05678,5905.41,force_direct,,104005.10743219443
1747377660,104041,104043,104015,104015,0.02851,2966.14,force_direct,,104038.5829533497
1747377720,104061,104061,104041,104041,0.0453,4713.79,force_direct,,104057.17439293598
1747377780,104054,104061,104028,104061,0.004606,479.21,force_direct,,104040.38211029093
1747377840,104028,104069,104027,104054,0.09356,9736.0,force_direct,,104061.56477126977
1747377900,103980,104028,103980,104028,0.08602,8944.71,force_direct,,103984.07347128574
1747377960,104084,104084,103980,103980,0.1547,16105.13,force_direct,,104105.55914673561
1747378020,104071,104084,104071,104084,0.004516,469.96,force_direct,,104065.54472984943
1747378080,104081,104081,104071,104071,0.001383,143.91,force_direct,,104056.39913232105
1747378140,104125,104125,104081,104081,0.002047,213.1,force_direct,,104103.56619443087
1747378200,104043,104125,104043,104125,0.09842,10239.89,force_direct,,104042.77585856534
1747378260,104030,104052,104026,104043,0.009477,985.94,force_direct,,104035.03218318034
1747378320,104015,104032,104015,104030,0.1142,11883.83,force_direct,,104061.55866900175
1747378380,104012,104022,104004,104015,0.07716,8025.5,force_direct,,104011.14567133228
1747378440,104014,104014,104005,104012,0.05073,5276.44,force_direct,,104010.25034496353
1747378500,104013,104019,104012,104014,0.2491,25909.61,force_direct,,104012.88639100763
1747378560,104015,104024,104008,104013,1.447,150492.66,force_direct,,104003.2204561161
1747378620,103975,104016,103972,104015,0.008818,917.15,force_direct,,104008.84554320708
1747378680,103982,103996,103964,103975,0.01034,1075.65,force_direct,,104028.04642166344
1747378740,104006,104006,103982,103982,0.002942,306.01,force_direct,,104014.27600271923
1747378800,103954,104006,103953,104006,0.0009659,100.42,force_direct,,103965.21379024744
1747378860,103905,103954,103897,103954,0.07701,8002.17,force_direct,,103910.79080638879
1747378920,103893,103905,103893,103905,0.006689,694.9,force_direct,,103886.97862161759
1747378980,103891,103893,103873,103893,0.009283,964.4,force_direct,,103888.82904233545
1747379040,103992,103992,103891,103891,0.00239,248.48,force_direct,,103966.5271966527
1747379100,104023,104040,103992,103992,0.005488,570.88,force_direct,,104023.32361516035
1747379160,103949,104023,103947,104023,0.08397,8729.97,force_direct,,103965.34476598784
1747379220,103937,103949,103937,103949,0.000913,94.89,force_direct,,103932.09200438116
1747379280,103919,103937,103919,103937,0.000688,71.5,force_direct,,103924.41860465116
1747379340,103910,103919,103910,103919,0.0004452,46.26,force_direct,,103908.35579514825
1747379400,103919,103919,103910,103910,0.005089,528.84,force_direct,,103918.2550599332
1747379460,103939,103939,103919,103919,0.986,102479.0,force_direct,,103934.0770791075
1747379520,103976,103977,103939,103939,0.01205,1253.21,force_direct,,104000.82987551867
1747379580,103995,103995,103976,103976,0.004953,515.08,force_direct,,103993.53926912983
1747379640,103995,103995,103995,103995,0.264,27458.92,force_direct,,104011.0606060606
1747379700,104017,104019,103995,103995,0.0147,1528.85,force_direct,,104003.40136054422
1747379760,103999,104019,103999,104017,0.2809,29212.02,force_direct,,103994.37522249912
1747379820,104034,104034,103997,103999,0.5,52006.8,force_direct,,104013.6
1747379880,104065,104067,104034,104034,0.02202,2291.23,force_direct,,104052.22524977294
1747379940,104097,104097,104065,104065,0.1924,20019.06,force_direct,,104049.16839916841
1747380000,104156,104156,104097,104097,0.1048,10914.23,force_direct,,104143.41603053434
1747380060,104154,104160,104138,104156,0.1996,20786.01,force_direct,,104138.3266533066
1747380120,104169,104169,104154,104154,8.553,890922.04,force_direct,,104164.85911376125
